Bout Information,Draw,No Contest,Round Finished,Method,Details,Fighter1,Fighter2,Loser,Winner,Loser Knockdowns,Loser Attempted Takedowns,Loser Takedowns Succeed,Loser Takedown Success Percentage,Loser Submission Attempts,Loser Guard Passages,Loser Reversals,Loser Attempted Significant Strikes,Loser Landed Significant Strikes,Loser Significant Landed Strikes Percentage,Loser Head Attempted Significant Strikes,Loser Head Landed Significant Strikes,Loser Head Landed Significant Strikes Percentage,Loser Body Attempted Significant Strikes,Loser Body Landed Significant Strikes,Loser Body Landed Significant Strikes Percentage,Loser Leg Attempted Significant Strikes,Loser Leg Landed Significant Strikes,Loser Leg Landed Significant Strikes Percentage,Loser At Distance Attempted Significant Strikes,Loser At Distance Landed Significant Strikes,Loser At Distance Landed Significant Strikes Percentage,Loser On Ground Attempted Significant Strikes,Loser On Ground Landed Significant Strikes,Loser On Ground Landed Significant Strikes Percentage,Loser In Clinch Attempted Significant Strikes,Loser In Clinch Landed Significant Strikes,Loser In Clinch Landed Significant Strikes Percentage,Winner Knockdowns,Winner Attempted Takedowns,Winner Takedowns Succeed,Winner Takedown Success Percentage,Winner Submission Attempts,Winner Guard Passages,Winner Reversals,Winner Attempted Significant Strikes,Winner Landed Significant Strikes,Winner Significant Landed Strikes Percentage,Winner Head Attempted Significant Strikes,Winner Head Landed Significant Strikes,Winner Head Landed Significant Strikes Percentage,Winner Body Attempted Significant Strikes,Winner Body Landed Significant Strikes,Winner Body Landed Significant Strikes Percentage,Winner Leg Attempted Significant Strikes,Winner Leg Landed Significant Strikes,Winner Leg Landed Significant Strikes Percentage,Winner At Distance Attempted Significant Strikes,Winner At Distance Landed Significant Strikes,Winner At Distance Landed Significant Strikes Percentage,Winner On Ground Attempted Significant Strikes,Winner On Ground Landed Significant Strikes,Winner On Ground Landed Significant Strikes Percentage,Winner In Clinch Attempted Significant Strikes,Winner In Clinch Landed Significant Strikes,Winner In Clinch Landed Significant Strikes Percentage
Welterweight Bout,False,False, 3, Decision - Unanimous,, Dhiego Lima, Yushin Okami, Dhiego Lima, Yushin Okami,0,0,0,0,0,0,0,24,11,45,16,6,38.0,6,3,50.0,2,2,100.0,19,6,32.0,3,3,100.0,2,2,100.0,0,6,13,46,0,6,0,19,15,78,18,14,78.0,0,0,0,1,1,100.0,3,2,67.0,0,0,0,16,13,82.0
Heavyweight Bout,False,False, 2, Submission, Omoplata From Bottom Guard, Arjan Bhullar, Adam Wieczorek, Arjan Bhullar, Adam Wieczorek,0,2,3,66,0,1,0,18,9,50,18,9,50.0,0,0,0,0,0,0,11,5,46.0,1,1,100.0,6,3,50.0,0,0,0,0,1,0,0,27,13,48,14,2,15.0,6,4,67.0,7,7,100.0,22,10,46.0,1,1,100.0,4,2,50.0
Bantamweight Bout,False,False, 2, KO/TKO, Punches to Head In Clinch, Matthew Lopez, Alejandro Perez, Matthew Lopez, Alejandro Perez,0,3,7,42,2,2,0,36,22,61,28,14,50.0,7,7,100.0,1,1,100.0,33,19,58.0,1,1,100.0,2,2,100.0,0,0,1,0,0,0,0,100,44,44,79,27,35.0,8,8,100.0,13,9,70.0,92,39,43.0,8,5,63.0,0,0,0
Bantamweight Bout,False,False, 3, Decision - Unanimous,, Luke Sanders, Patrick Williams, Patrick Williams, Luke Sanders,0,1,5,20,0,0,0,109,61,55,56,15,27.0,20,15,75.0,33,31,94.0,94,53,57.0,15,8,54.0,0,0,0,1,0,0,0,0,0,0,140,59,42,121,44,37.0,16,13,82.0,3,2,67.0,119,44,37.0,19,13,69.0,2,2,100.0
UFC Lightweight Title Bout,False,False, 5, Decision - Unanimous,, Khabib Nurmagomedov, Al Iaquinta, Al Iaquinta, Khabib Nurmagomedov,0,0,1,0,0,0,0,141,41,29,117,27,24.0,20,11,56.0,4,3,75.0,141,41,30.0,0,0,0,0,0,0,0,6,15,40,1,7,0,304,134,44,287,122,43.0,12,7,59.0,5,5,100.0,255,100,40.0,0,0,0,49,34,70.0
UFC Women's Strawweight Title Bout,False,False, 5, Decision - Unanimous,, Rose Namajunas, Joanna Jedrzejczyk, Joanna Jedrzejczyk, Rose Namajunas,0,0,0,0,0,0,0,356,145,40,257,64,25.0,37,27,73.0,62,54,88.0,342,135,40.0,14,10,72.0,0,0,0,0,1,2,50,0,0,0,301,105,34,270,85,32.0,24,15,63.0,7,5,72.0,301,105,35.0,0,0,0,0,0,0
Featherweight Bout,False,False, 3, Decision - Unanimous,, Renato Moicano, Calvin Kattar, Calvin Kattar, Renato Moicano,0,0,2,0,0,0,0,140,41,29,131,35,27.0,8,5,63.0,1,1,100.0,140,41,30.0,0,0,0,0,0,0,0,0,0,0,0,0,0,206,116,56,133,60,46.0,27,18,67.0,46,38,83.0,205,115,57.0,1,1,100.0,0,0,0
Featherweight Bout,False,False, 3, Decision - Unanimous,, Zabit Magomedsharipov, Kyle Bochniak, Kyle Bochniak, Zabit Magomedsharipov,0,0,2,0,0,0,0,163,43,26,149,34,23.0,13,9,70.0,1,0,0.0,162,42,26.0,1,1,100.0,0,0,0,0,5,11,45,0,1,0,217,97,44,188,75,40.0,14,11,79.0,15,11,74.0,207,89,43.0,2,1,50.0,8,7,88.0
Lightweight Bout,False,False, 2, KO/TKO, to Corner stoppage, Joe Lauzon, Chris Gruetzemacher, Joe Lauzon, Chris Gruetzemacher,0,0,2,0,0,0,0,137,48,35,125,40,32.0,10,7,70.0,2,1,50.0,113,35,31.0,22,11,50.0,2,2,100.0,0,0,0,0,0,0,0,196,128,65,135,72,54.0,50,45,90.0,11,11,100.0,118,68,58.0,65,51,79.0,13,9,70.0
Women's Strawweight Bout,False,False, 3, Decision - Split,, Karolina Kowalkiewicz, Felice Herrig, Felice Herrig, Karolina Kowalkiewicz,0,0,5,0,0,0,0,216,86,39,181,62,35.0,25,19,76.0,10,5,50.0,178,62,35.0,38,24,64.0,0,0,0,0,0,3,0,0,1,1,248,126,50,191,82,43.0,42,31,74.0,15,13,87.0,192,80,42.0,53,43,82.0,3,3,100.0
Lightweight Bout,False,False, 1, KO/TKO, Knees to Body In Clinch, Evan Dunham, Olivier Aubin-Mercier, Evan Dunham, Olivier Aubin-Mercier,0,0,0,0,0,0,0,14,4,28,14,4,29.0,0,0,0,0,0,0,13,3,24.0,1,1,100.0,0,0,0,1,0,0,0,0,0,0,18,13,72,14,9,65.0,4,4,100.0,0,0,0,5,3,60.0,9,8,89.0,4,2,50.0
Women's Flyweight Bout,False,False, 3, Decision - Unanimous,, Bec Rawlings, Ashlee Evans-Smith, Bec Rawlings, Ashlee Evans-Smith,0,0,0,0,0,0,0,195,88,45,147,46,32.0,18,14,78.0,30,28,94.0,188,82,44.0,7,6,86.0,0,0,0,0,1,4,25,0,0,0,331,116,35,276,81,30.0,36,20,56.0,19,15,79.0,305,101,34.0,25,14,57.0,1,1,100.0
Light Heavyweight Bout,False,False, 3, Decision - Unanimous,, Devin Clark, Mike Rodriguez, Mike Rodriguez, Devin Clark,0,0,0,0,0,0,0,66,40,60,39,17,44.0,23,21,92.0,4,2,50.0,35,11,32.0,29,27,94.0,2,2,100.0,0,7,11,63,0,2,0,64,50,78,38,30,79.0,16,12,75.0,10,8,80.0,24,17,71.0,24,19,80.0,16,14,88.0
Heavyweight Bout,False,False, 4, KO/TKO, Punch to Head In Clinch, Fabricio Werdum, Alexander Volkov, Fabricio Werdum, Alexander Volkov,0,3,9,33,0,3,2,88,48,54,66,30,46.0,14,12,86.0,8,6,75.0,41,22,54.0,2,1,50.0,45,25,56.0,1,2,2,100,0,0,0,90,48,53,75,37,50.0,11,8,73.0,4,3,75.0,71,32,46.0,5,3,60.0,14,13,93.0
Light Heavyweight Bout,False,False, 3, Decision - Unanimous,, Jimi Manuwa, Jan Blachowicz, Jimi Manuwa, Jan Blachowicz,0,0,2,0,0,0,0,110,37,33,79,16,21.0,23,17,74.0,8,4,50.0,104,32,31.0,6,5,84.0,0,0,0,1,1,6,16,0,0,0,191,97,50,171,81,48.0,15,11,74.0,5,5,100.0,178,88,50.0,12,8,67.0,1,1,100.0
Bantamweight Bout,False,False, 3, Decision - Unanimous,, Tom Duquesnoy, Terrion Ware, Terrion Ware, Tom Duquesnoy,0,2,6,33,0,1,0,267,85,31,234,60,26.0,21,15,72.0,12,10,84.0,248,71,29.0,10,6,60.0,9,8,89.0,0,0,3,0,0,0,0,153,67,43,104,28,27.0,18,8,45.0,31,31,100.0,150,66,44.0,3,1,34.0,0,0,0
Welterweight Bout,False,False, 3, KO/TKO, Punch to Head On Ground, Leon Edwards, Peter Sobotta, Peter Sobotta, Leon Edwards,0,1,4,25,0,1,0,43,16,37,34,8,24.0,4,3,75.0,5,5,100.0,42,15,36.0,1,1,100.0,0,0,0,1,1,2,50,0,4,1,86,42,48,78,37,48.0,6,5,84.0,2,0,0.0,50,16,32.0,1,1,100.0,35,25,72.0
Middleweight Bout,False,False, 1, Submission, Rear Naked Choke, John Phillips, Charles Byrd, John Phillips, Charles Byrd,0,0,0,0,0,0,0,1,0,0,1,0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0,0,1,1,100,1,3,0,14,11,78,14,11,79.0,0,0,0,0,0,0,1,0,0.0,0,0,0,13,11,85.0
Welterweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Danny Roberts, Oliver Enkamp, Oliver Enkamp, Danny Roberts,0,0,1,0,0,0,0,12,7,58,4,1,25.0,1,1,100.0,7,5,72.0,10,5,50.0,2,2,100.0,0,0,0,1,0,0,0,0,0,0,10,4,40,8,2,25.0,1,1,100.0,1,1,100.0,8,3,38.0,1,0,0.0,1,1,100.0
Featherweight Bout,False,False, 1, Submission, Guillotine Choke Standing, Danny Henry, Hakeem Dawodu, Hakeem Dawodu, Danny Henry,0,0,0,0,0,0,0,3,3,100,1,1,100.0,0,0,0,2,2,100.0,3,3,100.0,0,0,0,0,0,0,1,0,0,0,1,0,0,5,2,40,4,2,50.0,1,0,0.0,0,0,0,4,2,50.0,0,0,0,1,0,0.0
Light Heavyweight Bout,False,False, 3, Submission, Triangle Choke From Bottom Guard, Paul Craig, Magomed Ankalaev, Magomed Ankalaev, Paul Craig,0,0,0,0,0,3,2,96,59,61,70,36,52.0,21,19,91.0,5,4,80.0,44,20,46.0,11,8,73.0,41,31,76.0,0,2,7,28,1,1,0,50,18,36,30,2,7.0,14,10,72.0,6,6,100.0,41,12,30.0,7,6,86.0,2,0,0.0
Lightweight Bout,False,False, 3, Decision - Split,, Stevie Ray, Kajan Johnson, Stevie Ray, Kajan Johnson,0,3,4,75,1,1,0,62,24,38,52,18,35.0,3,1,34.0,7,5,72.0,51,16,32.0,2,1,50.0,9,7,78.0,0,2,4,50,0,2,0,54,33,61,22,7,32.0,16,13,82.0,16,13,82.0,42,24,58.0,1,0,0.0,11,9,82.0
Heavyweight Bout,False,False, 2, Submission, Rear Naked Choke, Mark Godbeer, Dmitry Sosnovskiy, Mark Godbeer, Dmitry Sosnovskiy,0,0,1,0,0,1,1,37,24,64,24,11,46.0,12,12,100.0,1,1,100.0,17,7,42.0,4,3,75.0,16,14,88.0,0,2,3,66,2,5,1,40,28,70,32,22,69.0,7,5,72.0,1,1,100.0,18,10,56.0,8,5,63.0,14,13,93.0
UFC Women's Featherweight Title Bout,False,False, 1, KO/TKO, Punches to Head On Ground, Cris Cyborg, Yana Kunitskaya, Yana Kunitskaya, Cris Cyborg,0,1,4,25,0,1,0,11,5,45,4,2,50.0,5,1,20.0,2,2,100.0,9,3,34.0,1,1,100.0,1,1,100.0,0,1,1,100,0,0,0,43,33,76,31,22,71.0,12,11,92.0,0,0,0,13,10,77.0,8,8,100.0,22,15,69.0
Featherweight Bout,False,False, 1, KO/TKO, Punch to Head In Clinch, Frankie Edgar, Brian Ortega, Frankie Edgar, Brian Ortega,0,0,1,0,0,0,0,77,27,35,59,12,21.0,13,10,77.0,5,5,100.0,76,27,36.0,1,0,0.0,0,0,0,1,0,0,0,0,0,0,76,25,32,71,21,30.0,4,3,75.0,1,1,100.0,66,17,26.0,8,6,75.0,2,2,100.0
Bantamweight Bout,False,False, 3, Decision - Unanimous,, Sean O'Malley, Andre Soukhamthath, Andre Soukhamthath, Sean O'Malley,0,4,7,57,0,4,0,60,25,41,37,7,19.0,12,9,75.0,11,9,82.0,50,16,32.0,1,1,100.0,9,8,89.0,0,0,0,0,3,1,1,111,63,56,83,41,50.0,21,15,72.0,7,7,100.0,100,53,53.0,2,1,50.0,9,9,100.0
Heavyweight Bout,False,False, 3, Decision - Unanimous,, Stefan Struve, Andrei Arlovski, Stefan Struve, Andrei Arlovski,0,0,3,0,0,0,1,74,34,45,40,9,23.0,16,8,50.0,18,17,95.0,69,32,47.0,0,0,0,5,2,40.0,0,4,9,44,0,2,1,88,46,52,42,12,29.0,26,16,62.0,20,18,90.0,82,42,52.0,3,2,67.0,3,2,67.0
Women's Bantamweight Bout,False,False, 3, Decision - Split,, Cat Zingano, Ketlen Vieira, Cat Zingano, Ketlen Vieira,0,0,2,0,0,0,0,106,59,55,70,33,48.0,25,17,68.0,11,9,82.0,69,31,45.0,24,19,80.0,13,9,70.0,0,2,2,100,1,7,0,71,41,57,60,32,54.0,8,6,75.0,3,3,100.0,43,17,40.0,13,9,70.0,15,15,100.0
Women's Strawweight Bout,False,False, 3, Decision - Split,, Ashley Yoder, Mackenzie Dern, Ashley Yoder, Mackenzie Dern,1,0,0,0,0,0,0,142,52,36,109,27,25.0,23,17,74.0,10,8,80.0,125,37,30.0,17,15,89.0,0,0,0,0,1,6,16,1,1,0,143,70,48,111,39,36.0,15,14,94.0,17,17,100.0,113,43,39.0,21,19,91.0,9,8,89.0
Lightweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Beneil Dariush, Alexander Hernandez, Beneil Dariush, Alexander Hernandez,0,0,0,0,0,0,0,11,4,36,7,2,29.0,3,1,34.0,1,1,100.0,11,4,37.0,0,0,0,0,0,0,1,0,0,0,0,1,0,13,8,61,10,5,50.0,3,3,100.0,0,0,0,11,6,55.0,0,0,0,2,2,100.0
Bantamweight Bout,False,False, 3, Decision - Split,, John Dodson, Pedro Munhoz, Pedro Munhoz, John Dodson,0,1,1,100,0,0,0,172,69,40,118,39,34.0,39,21,54.0,15,9,60.0,165,63,39.0,5,4,80.0,2,2,100.0,0,0,0,0,0,0,0,184,76,41,151,47,32.0,26,22,85.0,7,7,100.0,181,76,42.0,3,0,0.0,0,0,0
Middleweight Bout,False,False, 1, DQ, Punches after the end of the round by Lombard, CB Dollaway, Hector Lombard, Hector Lombard, CB Dollaway,1,0,0,0,0,0,0,33,19,57,18,8,45.0,4,2,50.0,11,9,82.0,32,18,57.0,1,1,100.0,0,0,0,0,0,0,0,0,0,0,19,13,68,7,4,58.0,11,8,73.0,1,1,100.0,18,12,67.0,1,1,100.0,0,0,0
Welterweight Bout,False,False, 1, KO/TKO, Punches to Head From Half Guard, Mike Pyle, Zak Ottow, Mike Pyle, Zak Ottow,0,0,0,0,0,0,0,20,4,20,15,1,7.0,5,3,60.0,0,0,0,20,4,20.0,0,0,0,0,0,0,1,0,0,0,0,0,0,50,22,44,40,18,45.0,8,2,25.0,2,2,100.0,29,9,32.0,0,0,0,21,13,62.0
Bantamweight Bout,False,False, 3, Decision - Split,, Bryan Caraway, Cody Stamann, Bryan Caraway, Cody Stamann,0,1,23,4,0,3,0,168,59,35,156,50,33.0,7,4,58.0,5,5,100.0,147,50,35.0,20,8,40.0,1,1,100.0,0,0,1,0,0,0,0,166,95,57,132,67,51.0,26,21,81.0,8,7,88.0,128,65,51.0,38,30,79.0,0,0,0
Light Heavyweight Bout,False,False, 3, Decision - Split,, Jordan Johnson, Adam Milstead, Adam Milstead, Jordan Johnson,0,0,0,0,0,0,0,133,58,43,121,47,39.0,7,6,86.0,5,5,100.0,113,44,39.0,19,13,69.0,1,1,100.0,0,2,11,18,0,0,0,106,59,55,88,44,50.0,9,7,78.0,9,8,89.0,101,57,57.0,5,2,40.0,0,0,0
Featherweight Bout,False,False, 2, KO/TKO, Punch to Head In Clinch, Josh Emmett, Jeremy Stephens, Josh Emmett, Jeremy Stephens,1,0,0,0,0,0,0,40,18,45,30,9,30.0,6,5,84.0,4,4,100.0,32,13,41.0,0,0,0,8,5,63.0,1,0,0,0,0,0,0,57,24,42,46,18,40.0,8,4,50.0,3,2,67.0,49,19,39.0,0,0,0,8,5,63.0
Women's Strawweight Bout,False,False, 3, Decision - Unanimous,, Jessica Andrade, Tecia Torres, Tecia Torres, Jessica Andrade,0,2,2,100,0,1,0,150,69,46,132,54,41.0,9,6,67.0,9,9,100.0,133,61,46.0,13,5,39.0,4,3,75.0,0,10,12,83,0,8,1,178,92,51,124,46,38.0,50,43,86.0,4,3,75.0,113,37,33.0,26,17,66.0,39,38,98.0
Light Heavyweight Bout,False,False, 1, Submission, Guillotine Choke Standing, Ovince Saint Preux, Ilir Latifi, Ovince Saint Preux, Ilir Latifi,0,0,0,0,0,0,0,24,7,29,18,2,12.0,3,2,67.0,3,3,100.0,24,7,30.0,0,0,0,0,0,0,1,0,0,0,1,0,0,41,25,60,25,11,44.0,6,5,84.0,10,9,90.0,34,19,56.0,1,1,100.0,6,5,84.0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Mike Perry, Max Griffin, Mike Perry, Max Griffin,0,1,4,25,0,1,0,110,45,40,77,23,30.0,18,8,45.0,15,14,94.0,108,44,41.0,2,1,50.0,0,0,0,1,0,1,0,0,0,0,168,78,46,138,58,43.0,15,7,47.0,15,13,87.0,163,74,46.0,1,1,100.0,4,3,75.0
Bantamweight Bout,False,False, 3, Decision - Unanimous,, Renan Barao, Brian Kelleher, Renan Barao, Brian Kelleher,0,0,2,0,0,0,0,228,116,50,167,78,47.0,43,27,63.0,18,11,62.0,204,95,47.0,24,21,88.0,0,0,0,0,1,4,25,0,0,0,203,94,46,175,74,43.0,21,13,62.0,7,7,100.0,195,86,45.0,8,8,100.0,0,0,0
Women's Bantamweight Bout,False,False, 2, Submission, Triangle Choke On Ground, Sara McMann, Marion Reneau, Sara McMann, Marion Reneau,0,2,5,40,0,1,0,49,9,18,42,5,12.0,5,2,40.0,2,2,100.0,45,6,14.0,4,3,75.0,0,0,0,0,0,0,0,1,0,0,39,23,58,38,23,61.0,1,0,0.0,0,0,0,24,11,46.0,2,1,50.0,13,11,85.0
Women's Strawweight Bout,False,False, 3, Decision - Unanimous,, Maryna Moroz, Angela Hill, Maryna Moroz, Angela Hill,0,0,2,0,0,0,0,321,84,26,241,39,17.0,62,32,52.0,18,13,73.0,304,78,26.0,16,6,38.0,1,0,0.0,0,1,2,50,0,1,0,209,114,54,144,63,44.0,37,26,71.0,28,25,90.0,182,89,49.0,24,22,92.0,3,3,100.0
Welterweight Bout,False,False, 2, KO/TKO, Punch to Head In Clinch, Ben Saunders, Alan Jouban, Ben Saunders, Alan Jouban,0,0,0,0,0,0,0,79,33,41,60,21,35.0,14,8,58.0,5,4,80.0,65,25,39.0,13,8,62.0,1,0,0.0,2,0,0,0,0,1,0,141,78,55,109,53,49.0,13,10,77.0,19,15,79.0,110,60,55.0,28,16,58.0,3,2,67.0
Light Heavyweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Sam Alvey, Marcin Prachnio, Marcin Prachnio, Sam Alvey,0,0,0,0,0,0,0,24,15,62,10,3,30.0,6,4,67.0,8,8,100.0,20,12,60.0,4,3,75.0,0,0,0,2,1,1,100,0,1,0,19,10,52,12,3,25.0,1,1,100.0,6,6,100.0,17,9,53.0,1,1,100.0,1,0,0.0
Bantamweight Bout,False,False, 3, Submission, Arm Triangle From Side Control, Rani Yahya, Russell Doane, Russell Doane, Rani Yahya,0,1,1,100,0,1,0,8,2,25,5,0,0.0,3,2,67.0,0,0,0,8,2,25.0,0,0,0,0,0,0,0,2,3,66,2,5,1,20,17,85,4,1,25.0,14,14,100.0,2,2,100.0,5,2,40.0,0,0,0,15,15,100.0
Flyweight Bout,False,False, 3, Decision - Unanimous,, Eric Shelton, Alex Perez, Eric Shelton, Alex Perez,0,0,2,0,0,0,0,109,41,37,98,30,31.0,9,9,100.0,2,2,100.0,98,31,32.0,2,1,50.0,9,9,100.0,0,5,9,55,0,1,0,82,29,35,64,15,24.0,6,3,50.0,12,11,92.0,73,24,33.0,4,1,25.0,5,4,80.0
Bantamweight Bout,False,False, 2, Submission, Guillotine Choke After Drop to Ground, Albert Morales, Manny Bermudez, Albert Morales, Manny Bermudez,0,1,1,100,0,1,1,54,19,35,50,16,32.0,2,1,50.0,2,2,100.0,43,12,28.0,0,0,0,11,7,64.0,0,1,5,20,3,4,2,28,12,42,28,12,43.0,0,0,0,0,0,0,19,6,32.0,0,0,0,9,6,67.0
Welterweight Bout,False,False, 1, KO/TKO, Punch to Head In Clinch, Donald Cerrone, Yancy Medeiros, Yancy Medeiros, Donald Cerrone,0,0,0,0,0,0,0,79,25,31,70,17,25.0,9,8,89.0,0,0,0,76,22,29.0,3,3,100.0,0,0,0,3,0,1,0,0,0,0,57,28,49,45,16,36.0,11,11,100.0,1,1,100.0,52,24,47.0,1,1,100.0,4,3,75.0
Heavyweight Bout,False,False, 3, KO/TKO, Punch to Head In Clinch, Derrick Lewis, Marcin Tybura, Marcin Tybura, Derrick Lewis,0,1,2,50,1,8,1,56,37,66,32,19,60.0,11,8,73.0,13,10,77.0,20,9,45.0,5,5,100.0,31,23,75.0,2,1,2,50,0,2,0,45,30,66,42,27,65.0,2,2,100.0,1,1,100.0,13,7,54.0,4,3,75.0,28,20,72.0
Lightweight Bout,False,False, 3, Decision - Unanimous,, James Vick, Francisco Trinaldo, Francisco Trinaldo, James Vick,0,3,3,100,1,2,0,90,26,28,67,10,15.0,20,16,80.0,3,0,0.0,86,23,27.0,4,3,75.0,0,0,0,1,1,2,50,0,0,0,158,68,43,100,24,24.0,50,38,76.0,8,6,75.0,147,60,41.0,6,4,67.0,5,4,80.0
Welterweight Bout,False,False, 2, KO/TKO, Knee to Head In Clinch, Thiago Alves, Curtis Millender, Thiago Alves, Curtis Millender,0,1,1,100,0,1,0,106,33,31,63,3,5.0,3,3,100.0,40,27,68.0,106,33,32.0,0,0,0,0,0,0,2,0,0,0,0,0,0,106,47,44,85,31,37.0,10,7,70.0,11,9,82.0,100,44,44.0,0,0,0,6,3,50.0
Featherweight Bout,False,False, 3, Decision - Unanimous,, Steven Peterson, Brandon Davis, Steven Peterson, Brandon Davis,0,1,10,10,0,1,0,286,73,25,257,55,22.0,18,12,67.0,11,6,55.0,271,65,24.0,12,6,50.0,3,2,67.0,0,0,1,0,0,1,0,285,114,40,243,83,35.0,19,12,64.0,23,19,83.0,278,108,39.0,6,6,100.0,1,0,0.0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Sage Northcutt, Thibault Gouti, Thibault Gouti, Sage Northcutt,0,4,5,80,1,2,0,66,28,42,49,21,43.0,6,2,34.0,11,5,46.0,63,25,40.0,0,0,0,3,3,100.0,0,1,9,11,0,1,0,138,63,45,102,32,32.0,20,16,80.0,16,15,94.0,114,41,36.0,10,9,90.0,14,13,93.0
Lightweight Bout,False,False, 1, KO/TKO, Punch to Head In Clinch, Jared Gordon, Diego Ferreira, Jared Gordon, Diego Ferreira,0,0,1,0,0,0,0,17,8,47,17,8,48.0,0,0,0,0,0,0,17,8,48.0,0,0,0,0,0,0,1,0,0,0,0,2,0,60,29,48,54,24,45.0,4,3,75.0,2,2,100.0,44,13,30.0,0,0,0,16,16,100.0
Welterweight Bout,False,False, 1, Submission, Rear Naked Choke, Geoff Neal, Brian Camozzi, Brian Camozzi, Geoff Neal,0,0,0,0,0,0,0,29,7,24,22,3,14.0,5,2,40.0,2,2,100.0,28,7,25.0,1,0,0.0,0,0,0,0,0,0,0,1,0,0,31,14,45,28,11,40.0,1,1,100.0,2,2,100.0,31,14,46.0,0,0,0,0,0,0
Flyweight Bout,False,False, 1, Submission, Rear Naked Choke, Roberto Sanchez, Joby Sanchez, Joby Sanchez, Roberto Sanchez,0,0,0,0,0,0,0,5,1,20,5,1,20.0,0,0,0,0,0,0,5,1,20.0,0,0,0,0,0,0,0,3,3,100,1,2,0,3,2,66,2,1,50.0,0,0,0,1,1,100.0,3,2,67.0,0,0,0,0,0,0
Women's Bantamweight Bout,False,False, 3, Decision - Unanimous,, Sarah Moras, Lucie Pudilova, Sarah Moras, Lucie Pudilova,0,2,5,40,2,1,0,121,43,35,108,33,31.0,10,8,80.0,3,2,67.0,67,12,18.0,5,3,60.0,49,28,58.0,2,0,0,0,0,2,1,134,75,55,128,70,55.0,3,3,100.0,3,2,67.0,93,48,52.0,6,5,84.0,35,22,63.0
Welterweight Bout,False,False, 1, Submission, Guillotine Choke After Drop to Guard, Joshua Burkman, Alex Morono, Joshua Burkman, Alex Morono,0,0,0,0,0,0,0,13,4,30,5,0,0.0,3,0,0.0,5,4,80.0,13,4,31.0,0,0,0,0,0,0,1,0,0,0,1,0,0,19,7,36,12,2,17.0,0,0,0,7,5,72.0,19,7,37.0,0,0,0,0,0,0
Middleweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Oskar Piechota, Tim Williams, Tim Williams, Oskar Piechota,0,0,0,0,0,0,0,18,8,44,12,4,34.0,0,0,0,6,4,67.0,18,8,45.0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,17,77,18,13,73.0,2,2,100.0,2,2,100.0,14,10,72.0,0,0,0,8,7,88.0
UFC Interim Middleweight Title Bout,False,False, 3, KO/TKO, Punch to Head At Distance, Yoel Romero, Luke Rockhold, Luke Rockhold, Yoel Romero,0,0,0,0,0,0,0,119,45,37,87,22,26.0,15,10,67.0,17,13,77.0,118,44,38.0,1,1,100.0,0,0,0,1,0,0,0,0,0,0,92,45,48,60,23,39.0,17,10,59.0,15,12,80.0,73,31,43.0,18,13,73.0,1,1,100.0
Heavyweight Bout,False,False, 3, Decision - Unanimous,, Mark Hunt, Curtis Blaydes, Mark Hunt, Curtis Blaydes,1,0,0,0,0,0,0,32,14,43,31,13,42.0,0,0,0,1,1,100.0,29,11,38.0,2,2,100.0,1,1,100.0,0,10,14,71,0,10,0,105,56,53,95,46,49.0,6,6,100.0,4,4,100.0,54,11,21.0,1,1,100.0,50,44,88.0
Heavyweight Bout,False,False, 1, KO/TKO, Elbow to Head In Clinch, Tai Tuivasa, Cyril Asker, Cyril Asker, Tai Tuivasa,0,0,0,0,0,0,0,11,3,27,10,2,20.0,1,1,100.0,0,0,0,8,1,13.0,3,2,67.0,0,0,0,0,0,0,0,0,0,0,51,38,74,43,30,70.0,8,8,100.0,0,0,0,37,26,71.0,14,12,86.0,0,0,0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Jake Matthews, Jingliang Li, Jingliang Li, Jake Matthews,0,0,1,0,0,0,1,152,49,32,134,35,27.0,4,4,100.0,14,10,72.0,132,40,31.0,6,4,67.0,14,5,36.0,2,2,4,50,1,4,0,127,63,49,121,61,51.0,2,0,0.0,4,2,50.0,87,38,44.0,4,1,25.0,36,24,67.0
Light Heavyweight Bout,False,False, 1, Submission, Kimura On Ground, Tyson Pedro, Saparbeg Safarov, Saparbeg Safarov, Tyson Pedro,0,2,5,40,0,1,0,22,8,36,20,6,30.0,1,1,100.0,1,1,100.0,14,4,29.0,6,3,50.0,2,1,50.0,0,0,1,0,1,0,0,23,12,52,17,6,36.0,2,2,100.0,4,4,100.0,18,10,56.0,5,2,40.0,0,0,0
Lightweight Bout,False,False, 3, Decision - Split,, Damien Brown, Dong Hyun Ma, Damien Brown, Dong Hyun Ma,0,0,0,0,0,0,0,123,46,37,81,16,20.0,19,12,64.0,23,18,79.0,123,46,38.0,0,0,0,0,0,0,0,0,0,0,0,0,0,153,67,43,114,43,38.0,19,7,37.0,20,17,85.0,153,67,44.0,0,0,0,0,0,0
