Bout Information,Draw,No Contest,Round Finished,Method,Details,Fighter1,Fighter2,Loser,Winner,Loser Knockdowns,Loser Attempted Takedowns,Loser Takedowns Succeed,Loser Takedown Success Percentage,Loser Submission Attempts,Loser Guard Passages,Loser Reversals,Loser Attempted Significant Strikes,Loser Landed Significant Strikes,Loser Significant Landed Strikes Percentage,Loser Head Attempted Significant Strikes,Loser Head Landed Significant Strikes,Loser Head Landed Significant Strikes Percentage,Loser Body Attempted Significant Strikes,Loser Body Landed Significant Strikes,Loser Body Landed Significant Strikes Percentage,Loser Leg Attempted Significant Strikes,Loser Leg Landed Significant Strikes,Loser Leg Landed Significant Strikes Percentage,Loser At Distance Attempted Significant Strikes,Loser At Distance Landed Significant Strikes,Loser At Distance Landed Significant Strikes Percentage,Loser On Ground Attempted Significant Strikes,Loser On Ground Landed Significant Strikes,Loser On Ground Landed Significant Strikes Percentage,Loser In Clinch Attempted Significant Strikes,Loser In Clinch Landed Significant Strikes,Loser In Clinch Landed Significant Strikes Percentage,Winner Knockdowns,Winner Attempted Takedowns,Winner Takedowns Succeed,Winner Takedown Success Percentage,Winner Submission Attempts,Winner Guard Passages,Winner Reversals,Winner Attempted Significant Strikes,Winner Landed Significant Strikes,Winner Significant Landed Strikes Percentage,Winner Head Attempted Significant Strikes,Winner Head Landed Significant Strikes,Winner Head Landed Significant Strikes Percentage,Winner Body Attempted Significant Strikes,Winner Body Landed Significant Strikes,Winner Body Landed Significant Strikes Percentage,Winner Leg Attempted Significant Strikes,Winner Leg Landed Significant Strikes,Winner Leg Landed Significant Strikes Percentage,Winner At Distance Attempted Significant Strikes,Winner At Distance Landed Significant Strikes,Winner At Distance Landed Significant Strikes Percentage,Winner On Ground Attempted Significant Strikes,Winner On Ground Landed Significant Strikes,Winner On Ground Landed Significant Strikes Percentage,Winner In Clinch Attempted Significant Strikes,Winner In Clinch Landed Significant Strikes,Winner In Clinch Landed Significant Strikes Percentage
Ultimate Fighter 13 Welterweight Tournament Title Bout,False,False, 1, KO/TKO, Punches to Head At Distance, Ramsey Nijem, Tony Ferguson, Ramsey Nijem, Tony Ferguson,0,0,0,0,0,0,0,57,12,21,52,10,20.0,3,2,67.0,2,0,0.0,54,12,23.0,3,0,0.0,0,0,0,1,2,3,66,0,1,0,38,21,55,32,19,60.0,2,1,50.0,4,1,25.0,29,14,49.0,3,2,67.0,6,5,84.0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Clay Guida, Anthony Pettis, Anthony Pettis, Clay Guida,0,0,0,0,1,2,0,51,14,27,47,12,26.0,2,0,0.0,2,2,100.0,47,11,24.0,2,1,50.0,2,2,100.0,0,5,8,62,0,4,1,65,19,29,54,8,15.0,2,2,100.0,9,9,100.0,40,8,20.0,6,5,84.0,19,6,32.0
Middleweight Bout,False,False, 1, KO/TKO, Punch to Head In Clinch, Ed Herman, Tim Credeur, Tim Credeur, Ed Herman,0,0,0,0,0,0,0,24,11,45,22,9,41.0,0,0,0,2,2,100.0,24,11,46.0,0,0,0,0,0,0,1,0,0,0,0,0,0,19,11,57,18,11,62.0,1,0,0.0,0,0,0,14,6,43.0,1,1,100.0,4,4,100.0
Light Heavyweight Bout,False,False, 3, Decision - Unanimous,, Fabio Maldonado, Kyle Kingsbury, Fabio Maldonado, Kyle Kingsbury,0,2,2,100,2,0,1,144,78,54,93,45,49.0,50,32,64.0,1,1,100.0,119,63,53.0,23,14,61.0,2,1,50.0,0,5,14,35,0,2,0,191,95,49,120,43,36.0,31,24,78.0,40,28,70.0,149,66,45.0,38,26,69.0,4,3,75.0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Chuck O'Neil, Chris Cope, Chuck O'Neil, Chris Cope,0,0,2,0,0,0,0,125,47,37,90,18,20.0,11,9,82.0,24,20,84.0,119,41,35.0,6,6,100.0,0,0,0,0,0,0,0,0,0,0,238,66,27,177,29,17.0,35,19,55.0,26,18,70.0,228,57,25.0,10,9,90.0,0,0,0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Danny Downes, Jeremy Stephens, Danny Downes, Jeremy Stephens,0,0,0,0,1,0,0,88,32,36,56,9,17.0,22,16,73.0,10,7,70.0,70,17,25.0,18,15,84.0,0,0,0,0,6,8,75,3,3,0,88,55,62,70,39,56.0,12,10,84.0,6,6,100.0,59,30,51.0,19,16,85.0,10,9,90.0
Featherweight Bout,False,False, 3, KO/TKO, Punch to Body At Distance, Josh Grispi, George Roop, Josh Grispi, George Roop,0,4,5,80,0,3,0,28,11,39,20,4,20.0,2,1,50.0,6,6,100.0,22,8,37.0,1,0,0.0,5,3,60.0,1,0,0,0,0,0,0,142,91,64,110,64,59.0,24,22,92.0,8,5,63.0,53,27,51.0,20,17,85.0,69,47,69.0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Ryan McGillivray, Shamar Bailey, Ryan McGillivray, Shamar Bailey,0,0,1,0,0,0,0,91,19,20,87,17,20.0,3,2,67.0,1,0,0.0,90,18,20.0,0,0,0,1,1,100.0,0,5,9,55,0,9,0,69,33,47,56,21,38.0,10,9,90.0,3,3,100.0,49,20,41.0,9,8,89.0,11,5,46.0
Welterweight Bout,False,False, 3, Decision - Split,, Clay Harvison, Justin Edwards, Justin Edwards, Clay Harvison,0,7,20,35,0,5,0,90,42,46,72,26,37.0,11,10,91.0,7,6,86.0,68,27,40.0,19,14,74.0,3,1,34.0,0,1,1,100,2,2,1,108,57,52,85,34,40.0,22,22,100.0,1,1,100.0,70,24,35.0,25,22,88.0,13,11,85.0
Bantamweight Bout,False,False, 1, KO/TKO, Punch to Head From Guard, Scott Jorgensen, Ken Stone, Ken Stone, Scott Jorgensen,0,0,0,0,0,0,0,42,18,42,32,10,32.0,5,5,100.0,5,3,60.0,39,16,42.0,3,2,67.0,0,0,0,0,1,1,100,0,0,0,28,15,53,25,12,48.0,2,2,100.0,1,1,100.0,20,8,40.0,2,2,100.0,6,5,84.0
Bantamweight Bout,False,False, 3, Submission, Rear Naked Choke, Reuben Duran, Francisco Rivera, Francisco Rivera, Reuben Duran,0,0,1,0,3,0,0,38,22,57,26,10,39.0,5,5,100.0,7,7,100.0,24,11,46.0,10,8,80.0,4,3,75.0,0,2,5,40,2,5,0,71,42,59,41,14,35.0,19,17,90.0,11,11,100.0,44,18,41.0,16,13,82.0,11,11,100.0
Light Heavyweight Bout,False,False, 3, Decision - Unanimous,, Rampage Jackson, Matt Hamill, Matt Hamill, Rampage Jackson,0,0,17,0,0,0,0,85,32,37,63,17,27.0,3,1,34.0,19,14,74.0,77,29,38.0,8,3,38.0,0,0,0,0,0,0,0,0,0,0,128,55,42,98,30,31.0,26,21,81.0,4,4,100.0,94,33,36.0,34,22,65.0,0,0,0
Heavyweight Bout,False,False, 3, Decision - Unanimous,, Frank Mir, Roy Nelson, Roy Nelson, Frank Mir,0,0,1,0,0,0,0,51,21,41,42,13,31.0,4,3,75.0,5,5,100.0,23,9,40.0,28,12,43.0,0,0,0,0,6,8,75,0,6,0,65,46,70,46,28,61.0,17,16,95.0,2,2,100.0,23,14,61.0,32,22,69.0,10,10,100.0
Heavyweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Stefan Struve, Travis Browne, Stefan Struve, Travis Browne,0,0,0,0,2,0,1,23,10,43,15,4,27.0,5,4,80.0,3,2,67.0,21,8,39.0,2,2,100.0,0,0,0,1,1,1,100,0,1,0,36,17,47,23,9,40.0,6,4,67.0,7,4,58.0,29,10,35.0,4,4,100.0,3,3,100.0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Thiago Alves, Rick Story, Thiago Alves, Rick Story,0,1,3,33,0,1,0,111,41,36,102,34,34.0,3,3,100.0,6,4,67.0,97,35,37.0,14,6,43.0,0,0,0,0,4,14,28,0,1,0,169,62,36,129,30,24.0,19,13,69.0,21,19,91.0,130,34,27.0,38,27,72.0,1,1,100.0
Middleweight Bout,False,False, 2, KO/TKO, Punch to Head At Distance, Brian Stann, Jorge Santiago, Jorge Santiago, Brian Stann,0,0,2,0,0,0,0,43,14,32,38,10,27.0,2,2,100.0,3,2,67.0,40,13,33.0,3,1,34.0,0,0,0,2,0,0,0,0,0,0,99,47,47,73,26,36.0,6,4,67.0,20,17,85.0,75,32,43.0,0,0,0,24,15,63.0
Bantamweight Bout,False,False, 3, Decision - Unanimous,, Miguel Torres, Demetrious Johnson, Miguel Torres, Demetrious Johnson,0,0,1,0,3,5,2,19,10,52,10,3,30.0,8,7,88.0,1,0,0.0,8,1,13.0,9,8,89.0,2,1,50.0,0,5,5,100,0,3,1,23,13,56,9,2,23.0,8,6,75.0,6,5,84.0,18,9,50.0,5,4,80.0,0,0,0
Middleweight Bout,False,False, 3, Decision - Unanimous,, Kendall Grove, Tim Boetsch, Kendall Grove, Tim Boetsch,0,1,3,33,0,0,0,45,20,44,21,1,5.0,12,12,100.0,12,7,59.0,32,7,22.0,12,12,100.0,1,1,100.0,0,7,14,50,0,6,1,22,17,77,7,4,58.0,10,8,80.0,5,5,100.0,11,6,55.0,8,8,100.0,3,3,100.0
Lightweight Bout,False,False, 2, Submission, Rear Naked Choke, Gleison Tibau, Rafaello Oliveira, Rafaello Oliveira, Gleison Tibau,0,0,3,0,0,0,0,48,12,25,36,4,12.0,9,6,67.0,3,2,67.0,47,11,24.0,1,1,100.0,0,0,0,1,3,3,100,2,4,0,56,19,33,54,18,34.0,2,1,50.0,0,0,0,41,8,20.0,2,2,100.0,13,9,70.0
Bantamweight Bout,False,False, 3, Decision - Split,, Michael McDonald, Chris Cariaso, Chris Cariaso, Michael McDonald,0,1,4,25,0,0,0,85,44,51,51,12,24.0,17,17,100.0,17,15,89.0,81,43,54.0,3,1,34.0,1,0,0.0,0,1,2,50,0,2,0,67,32,47,53,19,36.0,5,4,80.0,9,9,100.0,65,30,47.0,0,0,0,2,2,100.0
Bantamweight Bout,False,False, 3, Decision - Unanimous,, Cole Escovedo, Renan Barao, Cole Escovedo, Renan Barao,0,0,1,0,0,0,0,65,29,44,42,10,24.0,15,14,94.0,8,5,63.0,60,27,45.0,3,1,34.0,2,1,50.0,0,6,7,85,0,1,0,88,46,52,55,20,37.0,19,17,90.0,14,9,65.0,83,42,51.0,1,1,100.0,4,3,75.0
UFC Welterweight Title Bout,False,False, 5, Decision - Unanimous,, Georges St-Pierre, Jake Shields, Jake Shields, Georges St-Pierre,0,0,6,0,0,0,0,401,78,19,318,34,11.0,44,27,62.0,39,17,44.0,399,78,20.0,2,0,0.0,0,0,0,0,2,3,66,0,0,0,245,85,34,190,54,29.0,45,21,47.0,10,10,100.0,239,82,35.0,1,1,100.0,5,2,40.0
UFC Featherweight Title Bout,False,False, 5, Decision - Unanimous,, Jose Aldo, Mark Hominick, Mark Hominick, Jose Aldo,0,1,2,50,0,1,0,181,71,39,148,50,34.0,25,17,68.0,8,4,50.0,149,50,34.0,1,1,100.0,31,20,65.0,1,5,9,55,1,1,0,215,94,43,191,72,38.0,5,4,80.0,19,18,95.0,166,66,40.0,0,0,0,49,28,58.0
Light Heavyweight Bout,False,False, 2, KO/TKO, Kick to Head At Distance, Lyoto Machida, Randy Couture, Randy Couture, Lyoto Machida,0,0,3,0,0,0,0,23,5,21,21,4,20.0,2,1,50.0,0,0,0,21,5,24.0,2,0,0.0,0,0,0,1,0,0,0,0,0,0,47,15,31,40,9,23.0,3,3,100.0,4,3,75.0,44,13,30.0,2,1,50.0,1,1,100.0
Light Heavyweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Vladimir Matyushenko, Jason Brilz, Jason Brilz, Vladimir Matyushenko,0,0,0,0,0,0,0,1,1,100,1,1,100.0,0,0,0,0,0,0,1,1,100.0,0,0,0,0,0,0,1,0,0,0,0,0,0,9,8,88,9,8,89.0,0,0,0,0,0,0,6,5,84.0,0,0,0,3,3,100.0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Mark Bocek, Benson Henderson, Mark Bocek, Benson Henderson,0,4,11,36,2,1,1,34,11,32,26,6,24.0,5,3,60.0,3,2,67.0,20,4,20.0,7,4,58.0,7,3,43.0,0,3,4,75,0,0,0,126,56,44,88,26,30.0,25,19,76.0,13,11,85.0,58,13,23.0,44,30,69.0,24,13,55.0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Nate Diaz, Rory MacDonald, Nate Diaz, Rory MacDonald,0,0,7,0,0,0,0,62,26,41,33,10,31.0,12,6,50.0,17,10,59.0,35,8,23.0,27,18,67.0,0,0,0,0,7,10,70,0,1,0,99,42,42,66,22,34.0,17,6,36.0,16,14,88.0,58,22,38.0,19,6,32.0,22,14,64.0
Welterweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Jake Ellenberger, Sean Pierson, Sean Pierson, Jake Ellenberger,0,0,0,0,0,0,0,14,3,21,13,3,24.0,0,0,0,1,0,0.0,14,3,22.0,0,0,0,0,0,0,1,1,1,100,0,0,0,19,9,47,13,6,47.0,3,1,34.0,3,2,67.0,16,7,44.0,2,1,50.0,1,1,100.0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Daniel Roberts, Claude Patrick, Daniel Roberts, Claude Patrick,0,1,4,25,1,1,1,79,6,7,64,0,0.0,6,3,50.0,9,3,34.0,75,5,7.0,4,1,25.0,0,0,0,0,4,5,80,1,2,0,62,29,46,44,13,30.0,9,8,89.0,9,8,89.0,39,13,34.0,21,15,72.0,2,1,50.0
Bantamweight Bout,False,False, 1, KO/TKO, Elbow to Head In Clinch, Ivan Menjivar, Charlie Valencia, Charlie Valencia, Ivan Menjivar,0,0,0,0,0,0,0,10,5,50,4,1,25.0,3,3,100.0,3,1,34.0,7,2,29.0,3,3,100.0,0,0,0,1,0,0,0,0,0,0,24,8,33,18,5,28.0,4,2,50.0,2,1,50.0,10,0,0.0,5,4,80.0,9,4,45.0
Middleweight Bout,False,False, 1, Submission, Triangle Choke From Bottom Guard, Jason MacDonald, Ryan Jensen, Ryan Jensen, Jason MacDonald,0,0,0,0,1,0,1,5,0,0,5,0,0.0,0,0,0,0,0,0,2,0,0.0,0,0,0,3,0,0.0,0,0,1,0,1,1,0,1,0,0,1,0,0.0,0,0,0,0,0,0,1,0,0.0,0,0,0,0,0,0
Lightweight Bout,False,False, 3, KO/TKO, Spinning Back Fist Head, John Makdessi, Kyle Watson, Kyle Watson, John Makdessi,0,0,3,0,0,0,0,141,25,17,112,12,11.0,17,6,36.0,12,7,59.0,134,22,17.0,7,3,43.0,0,0,0,1,0,0,0,0,0,0,98,50,51,65,31,48.0,18,9,50.0,15,10,67.0,87,43,50.0,11,7,64.0,0,0,0
Featherweight Bout,False,False, 1, Submission, Flying Triangle, Yves Jabouin, Pablo Garza, Yves Jabouin, Pablo Garza,0,0,0,0,0,0,0,37,16,43,23,6,27.0,2,1,50.0,12,9,75.0,37,16,44.0,0,0,0,0,0,0,0,0,1,0,1,0,1,48,26,54,25,10,40.0,11,8,73.0,12,8,67.0,30,11,37.0,10,7,70.0,8,8,100.0
Light Heavyweight Bout,False,False, 3, Decision - Unanimous,, Phil Davis, Rogerio Nogueira, Rogerio Nogueira, Phil Davis,0,0,0,0,0,0,0,54,8,14,52,7,14.0,1,0,0.0,1,1,100.0,54,8,15.0,0,0,0,0,0,0,0,4,11,36,0,3,0,101,42,41,67,18,27.0,23,16,70.0,11,8,73.0,65,17,27.0,6,5,84.0,30,20,67.0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Anthony Johnson, Dan Hardy, Dan Hardy, Anthony Johnson,0,0,1,0,3,0,0,13,2,15,10,1,10.0,2,1,50.0,1,0,0.0,10,1,10.0,3,1,34.0,0,0,0,1,4,5,80,2,3,0,36,20,55,32,17,54.0,0,0,0,4,3,75.0,5,3,60.0,5,4,80.0,26,13,50.0
Welterweight Bout,False,False, 2, KO/TKO, Elbows to Head From Mount Submission to Strikes, DaMarques Johnson, Amir Sadollah, DaMarques Johnson, Amir Sadollah,0,2,4,50,0,3,0,57,27,47,51,23,46.0,5,3,60.0,1,1,100.0,40,18,45.0,12,7,59.0,5,2,40.0,0,2,2,100,0,3,0,117,62,52,93,44,48.0,18,13,73.0,6,5,84.0,51,22,44.0,20,14,70.0,46,26,57.0
Featherweight Bout,False,False, 2, Submission,, Chan Sung Jung, Leonard Garcia, Leonard Garcia, Chan Sung Jung,0,0,1,0,0,0,0,87,15,17,75,10,14.0,3,2,67.0,9,3,34.0,83,13,16.0,4,2,50.0,0,0,0,0,1,2,50,1,4,0,100,30,30,90,22,25.0,2,2,100.0,8,6,75.0,84,20,24.0,2,2,100.0,14,8,58.0
Heavyweight Bout,False,False, 2, TKO - Doctor's Stoppage, Eye Injury, Jon Madsen, Mike Russow, Jon Madsen, Mike Russow,0,0,0,0,0,0,0,60,27,45,52,22,43.0,4,2,50.0,4,3,75.0,54,22,41.0,6,5,84.0,0,0,0,0,3,6,50,0,0,0,30,14,46,27,12,45.0,3,2,67.0,0,0,0,25,11,44.0,5,3,60.0,0,0,0
Featherweight Bout,False,False, 1, Submission, Rear Naked Choke, Alex Caceres, Mackens Semerzier, Alex Caceres, Mackens Semerzier,0,0,0,0,0,0,0,7,2,28,7,2,29.0,0,0,0,0,0,0,7,2,29.0,0,0,0,0,0,0,0,3,5,60,1,2,0,10,9,90,8,7,88.0,1,1,100.0,1,1,100.0,3,2,67.0,1,1,100.0,6,6,100.0
Welterweight Bout,False,False, 3, Decision - Split,, John Hathaway, Kris McCray, Kris McCray, John Hathaway,0,3,7,42,0,4,1,80,48,60,42,15,36.0,23,20,87.0,15,13,87.0,48,19,40.0,18,16,89.0,14,13,93.0,0,3,6,50,4,3,0,85,43,50,69,28,41.0,13,12,93.0,3,3,100.0,55,23,42.0,13,10,77.0,17,10,59.0
Bantamweight Bout,False,False, 3, Decision - Unanimous,, Michael McDonald, Edwin Figueroa, Edwin Figueroa, Michael McDonald,0,0,0,0,0,1,2,98,45,45,72,24,34.0,20,16,80.0,6,5,84.0,88,39,45.0,5,1,20.0,5,5,100.0,0,5,5,100,3,2,0,107,51,47,88,35,40.0,11,9,82.0,8,7,88.0,93,43,47.0,8,5,63.0,6,3,50.0
Heavyweight Bout,False,False, 2, Submission, Guillotine Choke Standing Technical Submission, Sean McCorkle, Christian Morecraft, Sean McCorkle, Christian Morecraft,0,1,2,50,0,0,0,14,8,57,12,6,50.0,2,2,100.0,0,0,0,10,5,50.0,1,0,0.0,3,3,100.0,0,1,2,50,2,3,1,46,22,47,40,16,40.0,3,3,100.0,3,3,100.0,17,4,24.0,4,3,75.0,25,15,60.0
Welterweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Johny Hendricks, TJ Waldburger, TJ Waldburger, Johny Hendricks,0,0,1,0,0,0,0,9,3,33,6,0,0.0,2,2,100.0,1,1,100.0,8,2,25.0,1,1,100.0,0,0,0,1,0,0,0,0,0,0,8,7,87,4,3,75.0,4,4,100.0,0,0,0,3,2,67.0,2,2,100.0,3,3,100.0
Middleweight Bout,False,False, 3, Decision - Unanimous,, Mario Miranda, Aaron Simpson, Mario Miranda, Aaron Simpson,0,0,2,0,0,0,0,15,14,93,7,6,86.0,4,4,100.0,4,4,100.0,4,3,75.0,11,11,100.0,0,0,0,0,10,26,38,0,4,0,75,59,78,28,12,43.0,4,4,100.0,43,43,100.0,12,3,25.0,36,36,100.0,27,20,75.0
Lightweight Bout,False,False, 3, Submission, Guillotine Choke After Drop to Guard, Waylon Lowe, Nik Lentz, Waylon Lowe, Nik Lentz,0,4,6,66,1,2,0,61,46,75,58,43,75.0,3,3,100.0,0,0,0,53,39,74.0,6,5,84.0,2,2,100.0,0,0,3,0,1,0,0,91,51,56,66,30,46.0,15,13,87.0,10,8,80.0,81,42,52.0,3,2,67.0,7,7,100.0
UFC Light Heavyweight Title Bout,False,False, 3, KO/TKO, Knee to Head In Clinch, Mauricio Rua, Jon Jones, Mauricio Rua, Jon Jones,0,0,0,0,0,0,0,40,9,22,32,6,19.0,7,2,29.0,1,1,100.0,36,8,23.0,4,1,25.0,0,0,0,1,3,3,100,0,4,0,113,75,66,83,50,61.0,18,15,84.0,12,10,84.0,50,26,52.0,12,10,84.0,51,39,77.0
Bantamweight Bout,False,False, 3, Decision - Unanimous,, Urijah Faber, Eddie Wineland, Eddie Wineland, Urijah Faber,0,1,3,33,0,0,0,71,11,15,65,8,13.0,2,1,50.0,4,2,50.0,64,7,11.0,4,3,75.0,3,1,34.0,0,2,11,18,0,0,0,110,49,44,89,36,41.0,19,12,64.0,2,1,50.0,56,24,43.0,6,6,100.0,48,19,40.0
Lightweight Bout,False,False, 3, KO/TKO, Knee to Head In Clinch, Jim Miller, Kamal Shalorus, Kamal Shalorus, Jim Miller,0,1,3,33,0,0,0,130,26,20,114,14,13.0,8,6,75.0,8,6,75.0,128,25,20.0,1,0,0.0,1,1,100.0,1,1,1,100,2,1,0,131,43,32,111,30,28.0,15,9,60.0,5,4,80.0,114,30,27.0,8,5,63.0,9,8,89.0
Middleweight Bout,False,False, 3, Decision - Unanimous,, Dan Miller, Nate Marquardt, Dan Miller, Nate Marquardt,0,2,6,33,2,0,0,38,10,26,33,7,22.0,3,2,67.0,2,1,50.0,34,8,24.0,4,2,50.0,0,0,0,0,3,3,100,0,0,0,78,47,60,71,41,58.0,3,2,67.0,4,4,100.0,49,24,49.0,3,3,100.0,26,20,77.0
Heavyweight Bout,False,False, 3, KO/TKO, Punch to Head At Distance, Mirko Cro Cop, Brendan Schaub, Mirko Cro Cop, Brendan Schaub,0,0,0,0,0,0,0,39,21,53,26,12,47.0,11,8,73.0,2,1,50.0,18,5,28.0,20,15,75.0,1,1,100.0,1,4,8,50,0,1,0,83,40,48,60,23,39.0,22,16,73.0,1,1,100.0,28,3,11.0,30,22,74.0,25,15,60.0
Light Heavyweight Bout,False,False, 1, KO/TKO, Punches to Head On Ground, Luiz Cane, Eliot Marshall, Eliot Marshall, Luiz Cane,0,0,2,0,0,0,0,7,2,28,7,2,29.0,0,0,0,0,0,0,7,2,29.0,0,0,0,0,0,0,1,0,0,0,0,0,0,63,29,46,61,27,45.0,0,0,0,2,2,100.0,14,5,36.0,0,0,0,49,24,49.0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Edson Barboza, Anthony Njokuani, Anthony Njokuani, Edson Barboza,0,1,1,100,0,0,0,188,72,38,124,34,28.0,35,16,46.0,29,22,76.0,175,66,38.0,5,2,40.0,8,4,50.0,0,2,2,100,0,0,0,151,46,30,117,26,23.0,15,10,67.0,19,10,53.0,147,44,30.0,4,2,50.0,0,0,0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Ricardo Almeida, Mike Pyle, Ricardo Almeida, Mike Pyle,0,1,18,5,0,0,0,84,48,57,39,13,34.0,22,20,91.0,23,15,66.0,67,33,50.0,10,8,80.0,7,7,100.0,0,1,3,33,1,0,0,73,36,49,44,12,28.0,18,16,89.0,11,8,73.0,57,21,37.0,15,14,94.0,1,1,100.0
Lightweight Bout,False,False, 3, Decision - Split,, Kurt Pellegrino, Gleison Tibau, Kurt Pellegrino, Gleison Tibau,0,1,6,16,0,1,0,120,47,39,103,30,30.0,12,12,100.0,5,5,100.0,103,31,31.0,7,6,86.0,10,10,100.0,0,2,7,28,0,1,0,103,44,42,87,29,34.0,16,15,94.0,0,0,0,92,37,41.0,8,5,63.0,3,2,67.0
Bantamweight Bout,False,False, 3, Decision - Unanimous,, Joseph Benavidez, Ian Loveland, Ian Loveland, Joseph Benavidez,0,0,1,0,0,0,0,90,45,50,76,32,43.0,12,11,92.0,2,2,100.0,79,39,50.0,8,4,50.0,3,2,67.0,0,5,17,29,0,5,0,118,48,40,72,18,25.0,36,25,70.0,10,5,50.0,109,41,38.0,5,5,100.0,4,2,50.0
Catch Weight Bout,False,False, 3, Decision - Unanimous,, Costas Philippou, Nick Catone, Costas Philippou, Nick Catone,0,0,0,0,0,0,0,49,23,46,38,13,35.0,9,8,89.0,2,2,100.0,40,15,38.0,7,6,86.0,2,2,100.0,0,3,8,37,0,4,0,59,31,52,47,22,47.0,5,4,80.0,7,5,72.0,35,11,32.0,9,9,100.0,15,11,74.0
Featherweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, Erik Koch, Raphael Assuncao, Raphael Assuncao, Erik Koch,0,0,0,0,0,0,0,20,9,45,12,3,25.0,4,3,75.0,4,3,75.0,20,9,45.0,0,0,0,0,0,0,1,0,0,0,0,0,0,18,4,22,16,2,13.0,1,1,100.0,1,1,100.0,18,4,23.0,0,0,0,0,0,0
Welterweight Bout,False,False, 3, Decision - Unanimous,, Diego Sanchez, Martin Kampmann, Martin Kampmann, Diego Sanchez,1,0,0,0,0,0,0,200,77,38,192,72,38.0,7,4,58.0,1,1,100.0,168,59,36.0,32,18,57.0,0,0,0,0,1,15,6,0,1,0,202,51,25,186,41,23.0,14,8,58.0,2,2,100.0,153,31,21.0,49,20,41.0,0,0,0
Middleweight Bout,False,False, 1, KO/TKO, Punch to Head At Distance, CB Dollaway, Mark Munoz, CB Dollaway, Mark Munoz,0,1,1,100,0,0,0,5,2,40,2,0,0.0,2,1,50.0,1,1,100.0,4,1,25.0,0,0,0,1,1,100.0,1,0,0,0,0,0,0,7,4,57,7,4,58.0,0,0,0,0,0,0,3,1,34.0,2,1,50.0,2,2,100.0
Middleweight Bout,False,False, 3, Decision - Unanimous,, Alessio Sakara, Chris Weidman, Alessio Sakara, Chris Weidman,0,0,0,0,0,0,1,71,27,38,50,11,22.0,15,11,74.0,6,5,84.0,60,20,34.0,8,5,63.0,3,2,67.0,0,5,8,62,0,4,0,105,45,42,99,39,40.0,0,0,0,6,6,100.0,72,25,35.0,7,2,29.0,26,18,70.0
Bantamweight Bout,False,False, 1, Submission, Guillotine Choke After Drop to Guard Technical Submission, Brian Bowles, Damacio Page, Damacio Page, Brian Bowles,0,0,0,0,0,0,0,49,17,34,37,8,22.0,3,2,67.0,9,7,78.0,48,16,34.0,1,1,100.0,0,0,0,0,1,1,100,1,0,0,61,19,31,57,17,30.0,4,2,50.0,0,0,0,50,16,32.0,0,0,0,11,3,28.0
Light Heavyweight Bout,False,False, 3, Decision - Unanimous,, Steve Cantwell, Cyrille Diabate, Steve Cantwell, Cyrille Diabate,0,1,7,14,0,1,0,105,28,26,72,6,9.0,23,13,57.0,10,9,90.0,101,25,25.0,2,2,100.0,2,1,50.0,1,1,1,100,0,0,0,198,146,73,136,90,67.0,33,30,91.0,29,26,90.0,174,125,72.0,14,12,86.0,10,9,90.0
Lightweight Bout,False,False, 3, Decision - Unanimous,, Joe Stevenson, Danny Castillo, Joe Stevenson, Danny Castillo,0,2,6,33,4,2,0,45,12,26,39,9,24.0,5,3,60.0,1,0,0.0,40,8,20.0,4,3,75.0,1,1,100.0,0,5,11,45,0,1,0,103,55,53,78,30,39.0,17,17,100.0,8,8,100.0,71,28,40.0,17,12,71.0,15,15,100.0
Lightweight Bout,False,False, 2, KO/TKO, Punch to Head At Distance, Thiago Tavares, Shane Roller, Thiago Tavares, Shane Roller,0,1,1,100,0,0,0,70,22,31,54,13,25.0,13,6,47.0,3,3,100.0,67,21,32.0,3,1,34.0,0,0,0,1,0,1,0,0,0,0,106,26,24,82,13,16.0,13,4,31.0,11,9,82.0,103,23,23.0,1,1,100.0,2,2,100.0
Bantamweight Bout,False,False, 3, Decision - Split,, Takeya Mizugaki, Reuben Duran, Reuben Duran, Takeya Mizugaki,0,0,2,0,0,0,0,143,67,46,118,43,37.0,16,15,94.0,9,9,100.0,123,49,40.0,19,17,90.0,1,1,100.0,0,4,4,100,0,3,0,92,43,46,60,20,34.0,7,7,100.0,25,16,64.0,75,30,40.0,6,5,84.0,11,8,73.0
